cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Sleightlett,https://www.cheese.com/sleightlett/,goat,"England, Great Britain, United Kingdom","Timsbury, Somerset",Feta,"fresh soft, artisan",22.10%,483.1 mg/100g,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE,,,
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Sirene,https://www.cheese.com/sirene/,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Trakia,Feta,"fresh soft, brined",20.10%,464.6 mg/100g,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE,Sirenje,,
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,,Feta,fresh soft,22.90%,424.5 mg/100g,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,Fresh Castillon,,David and Fanette Ladu
Sirene,https://www.cheese.com/sirene/,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Trakia,Feta,"fresh soft, brined",20.10%,464.6 mg/100g,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE,Sirenje,,
Lemon Fetish,https://www.cheese.com/lemon-fetish/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan",24.50%,461.1 mg/100g,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",,,,,Fifth Town Artisan Cheese
President Fat Free Feta,https://www.cheese.com/president-fat-free-feta/,cow,"France, United States",New York,Feta,"firm, artisan, brined",22.90%,473.2 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,,,"Fat Free Feta Crumbles, Fat Free Feta Chunk",,President Cheese
Petit-Suisse,https://www.cheese.com/petit-suisse/,cow,France,"Normandy, Auvilliers",Feta,fresh soft,23.60%,401.2 mg/100g,"creamy, smooth",rindless,white,"mild, sweet",fresh,,,,"double Suisse, double Petit-Suisse, Suisse double",Danone
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,,Feta,fresh soft,22.90%,424.5 mg/100g,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,Fresh Castillon,,David and Fanette Ladu
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
Crottin de Chavignol,https://www.cheese.com/crottin-de-chavignol/,goat,France,,Feta,"firm, soft-ripened",20.10%,411.0 mg/100g,crumbly,natural,white,full-flavored,strong,,,"Crottin Du Chavignol, Crottin",,
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
St Tola Divine,https://www.cheese.com/st-tola-divine/,goat,,"Inagh, Co Clare",Feta,"fresh soft, artisan",25.00%,431.8 mg/100g,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE,,,Inagh Farmhouse Cheese Ltd
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Stella Feta,https://www.cheese.com/stella-feta/,cow,United States,,Feta,"firm, artisan",22.80%,443.4 mg/100g,"crumbly, firm",,white,tangy,fresh,TRUE,FALSE,,,
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,,Feta,fresh soft,22.90%,424.5 mg/100g,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,Fresh Castillon,,David and Fanette Ladu
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Allium Piper,https://www.cheese.com/allium-piper/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.10%,447.3 mg/100g,"creamy, soft",,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,"Woodside Chevre - Allium Piper, Woodside Allium Piper",,Woodside Cheese Wrights
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
Murazzano DOP,https://www.cheese.com/murazzano-dop/,"cow, goat",Italy,Murazzano,Feta,"fresh soft, processed",22.80%,469.2 mg/100g,soft,rindless,white,spicy,mild,,,,,La Casera srl
Shanklish,https://www.cheese.com/shanklish/,"cow, sheep","Egypt, Lebanon, Syria",,Feta,"fresh firm, hard, artisan",20.30%,441.2 mg/100g,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE,,,Grandpa's dairy
Shanklish,https://www.cheese.com/shanklish/,"cow, sheep","Egypt, Lebanon, Syria",,Feta,"fresh firm, hard, artisan",20.30%,441.2 mg/100g,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE,,,Grandpa's dairy
Sirene,https://www.cheese.com/sirene/,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Trakia,Feta,"fresh soft, brined",20.10%,464.6 mg/100g,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE,Sirenje,,
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,,Feta,fresh soft,22.90%,424.5 mg/100g,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,Fresh Castillon,,David and Fanette Ladu
Sgt. Pepper,https://www.cheese.com/sgt-pepper/,goat,United States,California,Feta,fresh soft,22.70%,409.2 mg/100g,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",TRUE,FALSE,,,Cypress Grove Chevre
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
Monet,https://www.cheese.com/monet/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.20%,410.3 mg/100g,"creamy, soft",,white,"floral, herbaceous","floral, fresh",TRUE,FALSE,,,Woodside Cheese Wrights
Meredith Chevre Dill,https://www.cheese.com/meredith-chevre-dill/,goat,Australia,Victoria,Feta,"fresh soft, artisan",23.40%,402.2 mg/100g,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",TRUE,FALSE,,,Meredith Dairy
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
St Tola Divine,https://www.cheese.com/st-tola-divine/,goat,,"Inagh, Co Clare",Feta,"fresh soft, artisan",25.00%,431.8 mg/100g,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE,,,Inagh Farmhouse Cheese Ltd
Shanklish,https://www.cheese.com/shanklish/,"cow, sheep","Egypt, Lebanon, Syria",,Feta,"fresh firm, hard, artisan",20.30%,441.2 mg/100g,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE,,,Grandpa's dairy
Meredith Chevre Dill,https://www.cheese.com/meredith-chevre-dill/,goat,Australia,Victoria,Feta,"fresh soft, artisan",23.40%,402.2 mg/100g,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",TRUE,FALSE,,,Meredith Dairy
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Monet,https://www.cheese.com/monet/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.20%,410.3 mg/100g,"creamy, soft",,white,"floral, herbaceous","floral, fresh",TRUE,FALSE,,,Woodside Cheese Wrights
Monet,https://www.cheese.com/monet/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.20%,410.3 mg/100g,"creamy, soft",,white,"floral, herbaceous","floral, fresh",TRUE,FALSE,,,Woodside Cheese Wrights
St Tola Divine,https://www.cheese.com/st-tola-divine/,goat,,"Inagh, Co Clare",Feta,"fresh soft, artisan",25.00%,431.8 mg/100g,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE,,,Inagh Farmhouse Cheese Ltd
Crottin de Chavignol,https://www.cheese.com/crottin-de-chavignol/,goat,France,,Feta,"firm, soft-ripened",20.10%,411.0 mg/100g,crumbly,natural,white,full-flavored,strong,,,"Crottin Du Chavignol, Crottin",,
Stella Feta,https://www.cheese.com/stella-feta/,cow,United States,,Feta,"firm, artisan",22.80%,443.4 mg/100g,"crumbly, firm",,white,tangy,fresh,TRUE,FALSE,,,
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan, soft-ripened",20.50%,408.2 mg/100g,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",,,,,Fifth Town Artisan Cheese
President Fat Free Feta,https://www.cheese.com/president-fat-free-feta/,cow,"France, United States",New York,Feta,"firm, artisan, brined",22.90%,473.2 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,,,"Fat Free Feta Crumbles, Fat Free Feta Chunk",,President Cheese
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Petit-Suisse,https://www.cheese.com/petit-suisse/,cow,France,"Normandy, Auvilliers",Feta,fresh soft,23.60%,401.2 mg/100g,"creamy, smooth",rindless,white,"mild, sweet",fresh,,,,"double Suisse, double Petit-Suisse, Suisse double",Danone
Président Fresh Goat Cheese,https://www.cheese.com/president-fresh-goat-cheese/,goat,France,Poitou-Charentes,Feta,"fresh firm, artisan",24.40%,499.8 mg/100g,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,,"Président plain goat log, Président herb goat log",,President Cheese
Barrel Aged Feta,https://www.cheese.com/barrel-aged-feta/,"cow, goat, sheep",Greece,,Feta,"soft, artisan",23.60%,468.5 mg/100g,"creamy, crumbly",,white,creamy,rich,,,,,
Bianca,https://www.cheese.com/bianca/,"goat, sheep",United States,"Tieton, Washington",Feta,"fresh soft, artisan",23.30%,416.6 mg/100g,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",,,,,Tieton Farm & Creamery
Shanklish,https://www.cheese.com/shanklish/,"cow, sheep","Egypt, Lebanon, Syria",,Feta,"fresh firm, hard, artisan",20.30%,441.2 mg/100g,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE,,,Grandpa's dairy
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan, soft-ripened",20.50%,408.2 mg/100g,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",,,,,Fifth Town Artisan Cheese
Monet,https://www.cheese.com/monet/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.20%,410.3 mg/100g,"creamy, soft",,white,"floral, herbaceous","floral, fresh",TRUE,FALSE,,,Woodside Cheese Wrights
Lemon Fetish,https://www.cheese.com/lemon-fetish/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan",24.50%,461.1 mg/100g,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",,,,,Fifth Town Artisan Cheese
Barrel Aged Feta,https://www.cheese.com/barrel-aged-feta/,"cow, goat, sheep",Greece,,Feta,"soft, artisan",23.60%,468.5 mg/100g,"creamy, crumbly",,white,creamy,rich,,,,,
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan, soft-ripened",20.50%,408.2 mg/100g,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",,,,,Fifth Town Artisan Cheese
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
President Fat Free Feta,https://www.cheese.com/president-fat-free-feta/,cow,"France, United States",New York,Feta,"firm, artisan, brined",22.90%,473.2 mg/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,,,"Fat Free Feta Crumbles, Fat Free Feta Chunk",,President Cheese
Sgt. Pepper,https://www.cheese.com/sgt-pepper/,goat,United States,California,Feta,fresh soft,22.70%,409.2 mg/100g,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",TRUE,FALSE,,,Cypress Grove Chevre
Stella Feta,https://www.cheese.com/stella-feta/,cow,United States,,Feta,"firm, artisan",22.80%,443.4 mg/100g,"crumbly, firm",,white,tangy,fresh,TRUE,FALSE,,,
Allium Piper,https://www.cheese.com/allium-piper/,goat,Australia,South Australia,Feta,"fresh soft, artisan",23.10%,447.3 mg/100g,"creamy, soft",,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,"Woodside Chevre - Allium Piper, Woodside Allium Piper",,Woodside Cheese Wrights
Crottin de Chavignol,https://www.cheese.com/crottin-de-chavignol/,goat,France,,Feta,"firm, soft-ripened",20.10%,411.0 mg/100g,crumbly,natural,white,full-flavored,strong,,,"Crottin Du Chavignol, Crottin",,
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan, soft-ripened",20.50%,408.2 mg/100g,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",,,,,Fifth Town Artisan Cheese
Sleightlett,https://www.cheese.com/sleightlett/,goat,"England, Great Britain, United Kingdom","Timsbury, Somerset",Feta,"fresh soft, artisan",22.10%,483.1 mg/100g,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE,,,
Saltbush Chevre,https://www.cheese.com/saltbush_chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",22.50%,480.7 mg/100g,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Binnorie Marinated Fetta,https://www.cheese.com/binnorie-marinated-fetta/,cow,Australia,"Pokolbin, Hunter Valley",Feta,"soft, brined",22.50%,452.6 mg/100g,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",TRUE,FALSE,,Marinated Feta,Binnorie Dairy
Stella Feta,https://www.cheese.com/stella-feta/,cow,United States,,Feta,"firm, artisan",22.80%,443.4 mg/100g,"crumbly, firm",,white,tangy,fresh,TRUE,FALSE,,,
Stella Feta,https://www.cheese.com/stella-feta/,cow,United States,,Feta,"firm, artisan",22.80%,443.4 mg/100g,"crumbly, firm",,white,tangy,fresh,TRUE,FALSE,,,
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Lemon Myrtle Chevre,https://www.cheese.com/lemon-myrtle-chevre/,goat,Australia,South Australia,Feta,"fresh firm, artisan",20.30%,412.2 mg/100g,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,,,Woodside Cheese Wrights
Président Fresh Goat Cheese,https://www.cheese.com/president-fresh-goat-cheese/,goat,France,Poitou-Charentes,Feta,"fresh firm, artisan",24.40%,499.8 mg/100g,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,,"Président plain goat log, Président herb goat log",,President Cheese
Lemon Fetish,https://www.cheese.com/lemon-fetish/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan",24.50%,461.1 mg/100g,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",,,,,Fifth Town Artisan Cheese
St Tola Divine,https://www.cheese.com/st-tola-divine/,goat,,"Inagh, Co Clare",Feta,"fresh soft, artisan",25.00%,431.8 mg/100g,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE,,,Inagh Farmhouse Cheese Ltd
Shanklish,https://www.cheese.com/shanklish/,"cow, sheep","Egypt, Lebanon, Syria",,Feta,"fresh firm, hard, artisan",20.30%,441.2 mg/100g,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE,,,Grandpa's dairy
Stella Feta,https://www.cheese.com/stella-feta/,cow,United States,,Feta,"firm, artisan",22.80%,443.4 mg/100g,"crumbly, firm",,white,tangy,fresh,TRUE,FALSE,,,
Sleightlett,https://www.cheese.com/sleightlett/,goat,"England, Great Britain, United Kingdom","Timsbury, Somerset",Feta,"fresh soft, artisan",22.10%,483.1 mg/100g,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE,,,
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
Ackawi,https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",24.10%,421.1 mg/100g,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,,"Akkawi , Akawieh, Akawi",
Sleightlett,https://www.cheese.com/sleightlett/,goat,"England, Great Britain, United Kingdom","Timsbury, Somerset",Feta,"fresh soft, artisan",22.10%,483.1 mg/100g,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE,,,
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
Sleightlett,https://www.cheese.com/sleightlett/,goat,"England, Great Britain, United Kingdom","Timsbury, Somerset",Feta,"fresh soft, artisan",22.10%,483.1 mg/100g,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE,,,
Président Fresh Goat Cheese,https://www.cheese.com/president-fresh-goat-cheese/,goat,France,Poitou-Charentes,Feta,"fresh firm, artisan",24.40%,499.8 mg/100g,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,,"Président plain goat log, Président herb goat log",,President Cheese
Lost Lake,https://www.cheese.com/lost-lake/,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan, soft-ripened",20.50%,408.2 mg/100g,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",,,,,Fifth Town Artisan Cheese
Crottin de Champcol,https://www.cheese.com/crottin-de-champcol/,goat,France,,Feta,soft,23.10%,431.9 mg/100g,"crumbly, dense",,white,full-flavored,strong,,,,,
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,22.90%,480.5 mg/100g,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE,,,Barambah Organics Pty Ltd.
Bouyguette,https://www.cheese.com/bouyguette/,goat,France,,Feta,fresh soft,21.00%,452.6 mg/100g,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,,,
Binnorie Marinated Fetta,https://www.cheese.com/binnorie-marinated-fetta/,cow,Australia,"Pokolbin, Hunter Valley",Feta,"soft, brined",22.50%,452.6 mg/100g,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",TRUE,FALSE,,Marinated Feta,Binnorie Dairy
Castillon Frais,https://www.cheese.com/castillon-frais/,sheep,France,,Feta,fresh soft,22.90%,424.5 mg/100g,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE,Fresh Castillon,,David and Fanette Ladu
St Tola Greek Style,https://www.cheese.com/st-tola-greek-style/,goat,Ireland,Co Clare,Feta,"firm, brined",22.70%,475.0 mg/100g,smooth,rindless,white,"creamy, salty",goaty,,,,,Inagh Farmhouse Cheese Ltd
