cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Cure Nantais,cow,France,Camembert,"soft, artisan",Medium,"open, sticky, supple",natural,straw,"smokey , spicy","buttery, fresh",FALSE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",TRUE,FALSE
Comox Camembert,cow,Canada,Camembert,"soft, artisan, soft-ripened",Medium,"buttery, chalky, creamy, soft, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy, mushroomy","milky, mushroom, pungent",FALSE,FALSE
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,ivory,"spicy, strong",fresh,FALSE,FALSE
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,TRUE,FALSE
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",TRUE,FALSE
Laura Chenel Taupiniere,goat,United States,Camembert,"soft, artisan",Medium,"creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",TRUE,FALSE
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,pale yellow,"spicy, strong",stinky,FALSE,FALSE
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,cream,"spicy, strong","mild, milky",FALSE,FALSE
Pastoral,goat,United States,Camembert,soft,Medium,smooth,bloomy,white,"creamy, herbaceous","fresh, goaty",TRUE,FALSE
Manteca,cow,Italy,Camembert,"semi-soft, artisan",Medium,"dense, elastic, stringy",natural,pale yellow,buttery,"floral, fruity",FALSE,FALSE
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",FALSE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,FALSE,FALSE
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,"creamy, firm",natural,cream,buttery,"fresh, herbal",FALSE,FALSE
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,TRUE,FALSE
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,white,"spicy, strong","clean, fresh",FALSE,FALSE
MouCo Camembert,cow,United States,Camembert,"soft, artisan",Medium,"creamy, soft",bloomy,ivory,"creamy, milky","caramel, clean, grassy",FALSE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,herbal,TRUE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
Bouyssou,cow,France,Camembert,soft,Medium,"brittle, firm",natural,white,fruity,rich,FALSE,FALSE
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",FALSE,FALSE
Laura Chenel Taupiniere,goat,United States,Camembert,"soft, artisan",Medium,"creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",TRUE,FALSE
Striegistaler Zwerge Camembert,cow,Germany,Camembert,"semi-soft, soft-ripened",Medium,"creamy, soft",natural,white,"full-flavored, mild","aromatic, fresh, strong",TRUE,FALSE
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",TRUE,FALSE
Bridgewater,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",bloomy,ivory,"citrusy, mushroomy, piquant, spicy","mushroom, spicy",FALSE,FALSE
Sandy Creek,goat,United States,Camembert,"soft, soft-ripened",Medium,"runny, smooth",mold ripened,ivory,"citrusy, lemony, mushroomy, tangy","earthy, grassy",TRUE,FALSE
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,"fresh, milky, rich, sweet",FALSE,FALSE
Loma Alta,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,firm,mold ripened,white,"buttery, nutty",rich,FALSE,FALSE
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",FALSE,FALSE
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,FALSE,FALSE
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,TRUE,FALSE
Capriole Banon,goat,United States,Camembert,"soft, artisan",Medium,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",FALSE,FALSE
Camembert de Normandie,cow,France,Camembert,"soft, soft-ripened",Medium,creamy,bloomy,pale yellow,creamy,"goaty, strong",TRUE,TRUE
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,FALSE,FALSE
Pelardon des Corbieres,goat,France,Camembert,soft,Medium,soft,washed,ivory,"acidic, sweet",fresh,FALSE,FALSE
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,TRUE,FALSE
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",mild,TRUE,FALSE
Selva,cow,Spain,Camembert,"soft, artisan",Medium,"smooth, supple",natural,pale yellow,"bitter, buttery, salty",pleasant,FALSE,FALSE
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,TRUE,FALSE
MouCo Camembert,cow,United States,Camembert,"soft, artisan",Medium,"creamy, soft",bloomy,ivory,"creamy, milky","caramel, clean, grassy",TRUE,FALSE
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,TRUE,FALSE
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,TRUE,FALSE
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",fresh,TRUE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
Camembert des Camarades,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",FALSE,FALSE
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,TRUE,FALSE
Le Duc Vacherin,cow,France,Camembert,"soft, soft-ripened",Medium,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",TRUE,FALSE
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,smooth,bloomy,white,buttery,"fresh, herbal",FALSE,FALSE
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",FALSE,FALSE
Pastoral,goat,United States,Camembert,soft,Medium,smooth,rindless,white,"creamy, herbaceous","fresh, goaty",FALSE,FALSE
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,FALSE,FALSE
Manteca,cow,Italy,Camembert,"semi-soft, artisan",Medium,"dense, elastic, stringy",natural,pale yellow,buttery,"floral, fruity",FALSE,FALSE
Pithtiviers au Foin,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,"burnt caramel, fruity",grassy,FALSE,FALSE
PepBert,cow,United States,Camembert,"soft, artisan",Medium,soft-ripened,washed,ivory,"creamy, spicy","buttery, strong",FALSE,FALSE
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",TRUE,FALSE
Camembert des Camarades,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, soft, soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",FALSE,FALSE
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,FALSE,FALSE
MouCo Camembert,cow,United States,Camembert,"soft, artisan",Medium,"creamy, soft",bloomy,ivory,"creamy, milky","caramel, clean, grassy",TRUE,FALSE
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,white,"spicy, strong","milky, sweet",FALSE,FALSE
Acapella,goat,United States,Camembert,"soft, soft-ripened",Medium,"creamy, firm, smooth",natural,cream,buttery,"fresh, herbal",FALSE,FALSE
Comox Camembert,cow,Canada,Camembert,"soft, artisan, soft-ripened",Medium,"buttery, chalky, creamy, soft, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy, mushroomy","milky, mushroom, pungent",FALSE,FALSE
Bridgewater,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",bloomy,ivory,"citrusy, mushroomy, piquant, spicy","mushroom, spicy",FALSE,FALSE
Siltcoos,goat,United States,Camembert,"soft, artisan",Medium,soft,ash coated,ivory,"spicy, strong","clean, fresh",FALSE,FALSE
Pourly,goat,France,Camembert,"soft, artisan",Medium,smooth,natural,pale yellow,sweet,fresh,FALSE,FALSE
Capriole Banon,goat,United States,Camembert,"soft, artisan",Medium,"creamy, dense",leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty",FALSE,FALSE
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",FALSE,FALSE
Legato,cow,United States,Camembert,"soft, soft-ripened",Medium,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,TRUE,FALSE
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,FALSE,FALSE
Blythedale Camembert Vermont™,cow,United States,Camembert,"soft, artisan",Medium,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,TRUE,FALSE
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",barnyardy,FALSE,FALSE
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",TRUE,FALSE
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,TRUE,FALSE
McLaren,cow,Australia,Camembert,"soft, artisan, soft-ripened",Medium,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",TRUE,FALSE
Coeur de Camembert au Calvados,cow,France,Camembert,"soft, artisan",Medium,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich",FALSE,FALSE
Cameo,goat,United States,Camembert,"semi-soft, artisan",Medium,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",TRUE,FALSE
Selva,cow,Spain,Camembert,"soft, artisan",Medium,"smooth, supple",natural,pale yellow,"bitter, buttery, salty",pleasant,FALSE,FALSE
Striegistaler Zwerge Camembert,cow,Germany,Camembert,"semi-soft, soft-ripened",Medium,"creamy, soft",natural,white,"full-flavored, mild","aromatic, fresh, strong",TRUE,FALSE
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored","goaty, grassy, herbal",FALSE,FALSE
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",FALSE,FALSE
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,FALSE,FALSE
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",FALSE,FALSE
Miette,"goat, sheep",United States,Camembert,"semi-soft, artisan",Medium,"creamy, runny",bloomy,cream,"mushroomy, sweet, yeasty",barnyardy,FALSE,FALSE
Pelardon des Corbieres,goat,France,Camembert,soft,Medium,"creamy, smooth, soft",natural,white,"acidic, sweet","mild, nutty, smokey, yeasty",FALSE,FALSE
Le Duc Vacherin,cow,France,Camembert,"soft, soft-ripened",Medium,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",FALSE,FALSE
Le Duc Vacherin,cow,France,Camembert,"soft, soft-ripened",Medium,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",TRUE,FALSE
Afuega'l Pitu,cow,Spain,Camembert,"soft, artisan",Medium,smooth,cloth wrapped,golden yellow,"spicy, strong","aromatic, sweet",FALSE,FALSE
Sarró de Cabra,goat,Spain,Camembert,"semi-soft, artisan",Medium,buttery,cloth wrapped,white,"citrusy, strong, tangy","mild, sweet",FALSE,FALSE
L'Ecir de l'Aubrac,cow,France,Camembert,"soft, artisan",Medium,smooth,natural,white,sweet,pleasant,FALSE,FALSE
Selva,cow,Spain,Camembert,"soft, artisan",Medium,"smooth, supple",natural,pale yellow,"bitter, buttery, salty",pleasant,FALSE,FALSE
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,FALSE,FALSE
Bouyssou,cow,France,Camembert,soft,Medium,"elastic, stringy",natural,ivory,fruity,mild,FALSE,FALSE
President Camembert,cow,United States,Camembert,"semi-soft, soft-ripened",Medium,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,FALSE,FALSE
Cranborne,cow,"England, Great Britain, United Kingdom",Camembert,"soft, artisan, soft-ripened",Medium,"buttery, creamy",bloomy,pale yellow,creamy,mushroom,FALSE,FALSE
Little Bloom on the Prairie,goat,United States,Camembert,"soft, soft-ripened",Medium,"creamy, dense, smooth, soft-ripened",mold ripened,white,"citrusy, creamy, mushroomy, tangy","fresh, lactic",FALSE,FALSE
Les Calendos,cow,Canada,Camembert,"soft, soft-ripened",Medium,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored","fresh, herbal, nutty",FALSE,FALSE
Cameo,goat,United States,Camembert,"semi-soft, artisan",Medium,"buttery, creamy, soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",FALSE,FALSE
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE
Président Fresh Goat Cheese,goat,France,Feta,"fresh firm, artisan",Medium,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",FALSE,FALSE
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"floral, herbaceous","floral, fresh",TRUE,FALSE
Lemon Fetish,sheep,Canada,Feta,"fresh firm, artisan",Medium,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",TRUE,FALSE
Castillon Frais,sheep,France,Feta,fresh soft,Medium,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE
St Tola Divine,goat,Italy,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE
President Fat Free Feta,cow,"France, United States",Feta,"firm, artisan, brined",Medium,crumbly,natural,white,"herbaceous, salty, tangy",fresh,TRUE,FALSE
Shanklish,"cow, sheep","Egypt, Lebanon, Syria",Feta,"fresh firm, hard, artisan",Medium,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE
Lemon Fetish,sheep,Canada,Feta,"fresh firm, artisan",Medium,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",TRUE,FALSE
Lemon Fetish,sheep,Canada,Feta,"fresh firm, artisan",Medium,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",FALSE,FALSE
Sirene,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Feta,"fresh soft, brined",Medium,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE
Barrel Aged Feta,"cow, goat, sheep",Greece,Feta,"soft, artisan",Medium,"creamy, crumbly",plastic,white,creamy,rich,FALSE,FALSE
Castillon Frais,sheep,France,Feta,fresh soft,Medium,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE
Sirene,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Feta,"fresh soft, brined",Medium,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE
Barambah Organics Marinated Feta,cow,Australia,Feta,fresh soft,Medium,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE
Sgt. Pepper,goat,United States,Feta,fresh soft,Medium,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",TRUE,FALSE
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE
Allium Piper,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE
Sirene,"cow, goat, sheep","Albania, Bulgaria, Croatia, Greece, Israel, Macedonia, Romania, Serbia",Feta,"fresh soft, brined",Medium,"crumbly, grainy, smooth",natural,white,"lemony, salty, sharp, tangy",strong,FALSE,FALSE
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE
Binnorie Marinated Fetta,cow,Australia,Feta,"soft, brined",Medium,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",TRUE,FALSE
Allium Piper,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",natural,white,tangy,fresh,TRUE,FALSE
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE
Ackawi,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",Feta,"soft, brined",Medium,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE
St Tola Divine,goat,Mexico and Caribbean,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE
Sgt. Pepper,goat,United States,Feta,fresh soft,Medium,"creamy, smooth, spreadable",rindless,white,"full-flavored, spicy","fresh, spicy",TRUE,FALSE
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE
Sleightlett,goat,"England, Great Britain, United Kingdom",Feta,"fresh soft, artisan",Medium,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE
Petit-Suisse,cow,France,Feta,fresh soft,Medium,"creamy, smooth",rindless,white,"mild, sweet",fresh,TRUE,FALSE
St Tola Greek Style,goat,Ireland,Feta,"firm, brined",Medium,smooth,rindless,white,"creamy, salty",goaty,TRUE,FALSE
St Tola Greek Style,goat,Ireland,Feta,"firm, brined",Medium,smooth,rindless,white,"creamy, salty",goaty,TRUE,FALSE
Crottin de Chavignol,goat,France,Feta,"firm, soft-ripened",Medium,crumbly,natural,white,full-flavored,strong,FALSE,FALSE
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",rindless,white,tangy,fresh,TRUE,FALSE
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",natural,white,tangy,fresh,TRUE,FALSE
Murazzano DOP,"cow, goat",Italy,Feta,"fresh soft, processed",Medium,soft,rindless,white,spicy,mild,FALSE,FALSE
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"floral, herbaceous","floral, fresh",TRUE,FALSE
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",bloomy,white,"floral, herbaceous","floral, fresh",TRUE,FALSE
President Fat Free Feta,cow,"France, United States",Feta,"firm, artisan, brined",Medium,crumbly,natural,white,"herbaceous, salty, tangy",fresh,TRUE,FALSE
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE
Shanklish,"cow, sheep","Egypt, Lebanon, Syria",Feta,"fresh firm, hard, artisan",Medium,"creamy, crumbly, firm",mold ripened,white,"sharp, spicy, strong","pungent, strong",FALSE,FALSE
Président Fresh Goat Cheese,goat,France,Feta,"fresh firm, artisan",Medium,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",TRUE,FALSE
Sleightlett,goat,"England, Great Britain, United Kingdom",Feta,"fresh soft, artisan",Medium,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE
Barambah Organics Marinated Feta,cow,Australia,Feta,fresh soft,Medium,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE
Bianca,"goat, sheep",United States,Feta,"fresh soft, artisan",Medium,"soft, spreadable",rindless,ivory,"creamy, tangy","fresh, rich",TRUE,FALSE
President Fat Free Feta,cow,"France, United States",Feta,"firm, artisan, brined",Medium,crumbly,natural,white,"herbaceous, salty, tangy",fresh,TRUE,FALSE
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE
Crottin de Champcol,goat,France,Feta,soft,Medium,"crumbly, dense",rindless,white,full-flavored,strong,TRUE,FALSE
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE
Phoebe,"goat, sheep",United States,Feta,"fresh soft, brined",Medium,soft,rindless,white,"milky, salty",fresh,FALSE,FALSE
Barrel Aged Feta,"cow, goat, sheep",Greece,Feta,"soft, artisan",Medium,"creamy, crumbly",rindless,white,creamy,rich,TRUE,FALSE
Sleightlett,goat,"England, Great Britain, United Kingdom",Feta,"fresh soft, artisan",Medium,"creamy, fluffy, smooth",mold ripened,white,"citrusy, lemony, nutty","goaty, lactic",FALSE,FALSE
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",natural,white,tangy,fresh,TRUE,FALSE
Meredith Chevre Dill,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",TRUE,FALSE
Phoebe,"goat, sheep",United States,Feta,"fresh soft, brined",Medium,soft,rindless,white,"milky, salty",fresh,TRUE,FALSE
St Tola Divine,goat,Canada,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE
Crottin de Champcol,goat,France,Feta,soft,Medium,"crumbly, dense",natural,white,full-flavored,strong,TRUE,FALSE
St Tola Divine,goat,England,Feta,"fresh soft, artisan",Medium,"creamy, soft, spreadable",rindless,white,"lemony, mild, milky","floral, mild, milky",FALSE,FALSE
Saltbush Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,creamy,rindless,white,"acidic, grassy, herbaceous, salty","goaty, grassy, herbal",TRUE,FALSE
Allium Piper,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE
Président Fresh Goat Cheese,goat,France,Feta,"fresh firm, artisan",Medium,"dense, smooth",natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",FALSE,FALSE
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",mold ripened,white,tangy,fresh,TRUE,FALSE
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",artificial,white,"floral, herbaceous","floral, fresh",TRUE,FALSE
Stella Feta,cow,United States,Feta,"firm, artisan",Medium,"crumbly, firm",rindless,white,tangy,fresh,TRUE,FALSE
Bouyguette,goat,France,Feta,fresh soft,Medium,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE
Lemon Myrtle Chevre,goat,Australia,Feta,"fresh firm, artisan",Medium,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE
Castillon Frais,sheep,France,Feta,fresh soft,Medium,"creamy, open",rindless,white,"citrusy, creamy, floral, herbaceous","clean, floral, fresh",FALSE,FALSE
Monet,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",natural,white,"floral, herbaceous","floral, fresh",TRUE,FALSE
Barambah Organics Marinated Feta,cow,Australia,Feta,fresh soft,Medium,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",TRUE,FALSE
Meredith Chevre Dill,goat,Australia,Feta,"fresh soft, artisan",Medium,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",TRUE,FALSE
Petit-Suisse,cow,France,Feta,fresh soft,Medium,"creamy, smooth",rindless,white,"mild, sweet",fresh,FALSE,FALSE
